Музеи,
Доброхим,Общество друзей химической обороны и химической промышленности,
Драмсоюз,Ленинградское общество драматических писателей и композиторов,
ИЗО,Изобразительное искусство,
ИЗОСТАТ,Научно-исследовательский институт изобразительной статистики советского строительства и хозяйства,
ИМЭЛ,Институт Маркса-Энгельса-Ленина при ЦК ВКП(б) (КПСС),
Исполком,исполнительный комитет,
Комфракция,Фракция ВКП(б),
КПДИ,Комитет по делам искусства,
КПК,Контрольно-проверочная комиссия,
ЛАД,Ленинградская ассоциация драматургов,
ЛАПП,Ленинградская ассоциация пролетарских писателей,
Ликвидком,Ликвидационный комитет,
Литфонд,Литературный фонд,
ЛОКАФ,Литературное объединение Красной Армии и Флота,
ЛОССХ,Ленинградское отделение Союза советских художников,
ЛЦК,Литературный центр конструктивистов,
МАПП,Московская ассоциация пролетарских писателей,
Межрабпом,Международная рабочая помощь,
МКК,Московская контрольная комиссия,
МОДПИК,Московское общество драматических писателей и композиторов,
Моссовет,Московский городской совет депутатов трудящихся,
Музпред,Объединение предприятий музыкальной промышленности,
МФРКП,Московская федерация рабоче-крестьянских писателей,
НК РКИ,Народный комиссариат рабоче-крестьянской инспекции РСФСР,
НКВД,Народный комиссариат внутренних дел,
НКВнешторг,Народный комиссариат внешней торговли,
НКВод,Народный комиссариат водного транспорта,
НКЗем,Народный комиссариат земледелия,
НКИД,Народный комиссариат иностранных дел,
НКО, или НКОбороны,Народный комиссариат обороны,
НКП, или НКПрос, или Наркомпрос,Народный комиссариат просвещения,
НКПС,Народный комиссариат путей сообщения,
НКПТ, или Наркомпочтель,Народный комиссариат почт и телеграфов,
НКСвязь,Народный комиссариат связи,
НКФин,Народный комиссариат финансов,
НКЮст,Народный комиссариат юстиции,
ОБ, или Оргбюро,Организационное бюро ЦК РКП(б) / ВКП(б) / КПСС,
ОГПУ,Объединенное государственное политическое управление при СНК СССР,
ОДА,Общество друзей АХРР,
ОДВФ,Общество друзей воздушного флота,
ОД ПИК,Общество русских драматических писателей и композиторов,
ОПОЯЗ,Общество изучения теории поэтического языка,
ОРД,организационно-распорядительная документация ,
ПБ, или Политбюро,Политическое бюро ЦК РКП(б) / ВКП(б)\КПСС,
ПКО,Парк культуры и отдыха,
ПУР,Политическое управление Реввоенсовета,
ПУРККА,Политическое управление Рабоче-Крестьянской Красной Армии,
РАПП,Российская ассоциация пролетарских писателей,
РВС, или Реввоенсовет,Революционный военный совет,
РКИ,Рабочее-крестьянская инспекция,
РОСТА,Российское телеграфное агентство,
